Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
MBLAC1	metallo-beta-lactamase domain containing 1			MGC49416		ENSG00000214309
MBLAC2	metallo-beta-lactamase domain containing 2			DKFZp686P15118, MGC46734		ENSG00000176055
MBL~withdrawn	symbol withdrawn, see MBL2					
MBNL1	muscleblind-like splicing regulator 1	MBNL	"muscleblind (Drosophila)-like", "muscleblind-like (Drosophila)"	KIAA0428, EXP42, EXP40, EXP35, EXP		ENSG00000152601
MBNL1-AS1	MBNL1 antisense RNA 1					ENSG00000229619
MBNL2	muscleblind-like splicing regulator 2		"muscleblind-like 2 (Drosophila)"	MBLL, MBLL39		ENSG00000139793
MBNL3	muscleblind-like splicing regulator 3		"muscleblind-like 3 (Drosophila)"	CHCR, FLJ11316, MBLX39, MBXL		ENSG00000076770
MBNT~withdrawn	symbol withdrawn, see LAPTM4A					
MBOAT1	membrane bound O-acyltransferase domain containing 1	OACT1	"O-acyltransferase (membrane bound) domain containing 1"	MGC44669, dJ434O11.1, LPEAT1	"lysophosphatidylethanolamine acyltransferase 1"	ENSG00000172197
MBOAT2	membrane bound O-acyltransferase domain containing 2	OACT2	"O-acyltransferase (membrane bound) domain containing 2"	FLJ14415, FLJ90298		ENSG00000143797
MBOAT4	membrane bound O-acyltransferase domain containing 4	OACT4	"O-acyltransferase (membrane bound) domain containing 4"	FKSG89, GOAT	"ghrelin O-acyltransferase"	ENSG00000177669
MBOAT7	membrane bound O-acyltransferase domain containing 7	LENG4	"leukocyte receptor cluster (LRC) member 4"	BB1, hMBOA-7, LPIAT	"lysophosphatidylinositol acyltransferase"	
MBP	myelin basic protein					ENSG00000197971
MBS1	Moebius syndrome 1	MBS				
MBS2	Moebius syndrome 2			HCFP1	"hereditary congenital facial paresis 1"	
MBS3	Moebius syndrome 3			HCFP2	"hereditary congenital facial paresis 2"	
MBTD1	mbt domain containing 1			SA49P01, FLJ20055		ENSG00000011258
MBTPS1	membrane-bound transcription factor peptidase, site 1		"membrane-bound transcription factor protease, site 1"	S1P, KIAA0091, SKI-1, PCSK8		ENSG00000140943
MBTPS2	membrane-bound transcription factor peptidase, site 2		"membrane-bound transcription factor protease, site 2"	S2P		ENSG00000012174
MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)			MSH-R		ENSG00000258839
MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)			ACTHR		ENSG00000185231
MC3R	melanocortin 3 receptor			MC3		ENSG00000124089
MC4R	melanocortin 4 receptor					ENSG00000166603
MC5R	melanocortin 5 receptor					ENSG00000176136
MCAM	melanoma cell adhesion molecule			MUC18, CD146	"Gicerin"	ENSG00000076706
MCAT	malonyl CoA:ACP acyltransferase (mitochondrial)			MT, MCT, fabD, FASN2C, NET62		ENSG00000100294
MCC	mutated in colorectal cancers					ENSG00000171444
MCCC1	methylcrotonoyl-CoA carboxylase 1 (alpha)		"methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)"	MCCA		ENSG00000078070
MCCC1-AS1	MCCC1 antisense RNA 1		"MCCC1 antisense RNA 1 (non-protein coding)"			ENSG00000243368
MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta)		"methylcrotonoyl-Coenzyme A carboxylase 2 (beta)"	MCCB		
MCCD1	mitochondrial coiled-coil domain 1					
MCCD1P1	mitochondrial coiled-coil domain 1 pseudogene 1			OTTHUMG00000130506		
MCCD1P2	mitochondrial coiled-coil domain 1 pseudogene 2			BPG309N1.16		
MCDC1~withdrawn	symbol withdrawn, see CHST6					
MCDR1	macular dystrophy, retinal, 1 (North Carolina type)					
MCDR2~withdrawn	symbol withdrawn, see PROM1					
MCDR3	macular dystrophy, retinal 3					
MCDR4	macular dystrophy, retinal, 4 (North Carolina type with progressive sensorineural hearing loss)					
MCEE	methylmalonyl CoA epimerase			GLOD2	"glyoxalase domain containing 2"	ENSG00000124370
MCF2	MCF.2 cell line derived transforming sequence			DBL, ARHGEF21	"Oncogene MCF2 (oncogene DBL)"	ENSG00000101977
MCF2L	MCF.2 cell line derived transforming sequence-like			KIAA0362, DBS, OST, ARHGEF14		ENSG00000126217
MCF2L-AS1	MCF2L antisense RNA 1		"MCF2L antisense RNA 1 (non-protein coding)"			ENSG00000235280
MCF2L2	MCF.2 cell line derived transforming sequence-like 2			KIAA0861, ARHGEF22		ENSG00000053524
MCFD2	multiple coagulation factor deficiency 2			F5F8D, LMAN1IP, SDNSF		ENSG00000180398
MCFD2P1	multiple coagulation factor deficiency 2 pseudogene 1	C6orf44, MCFD2L	"chromosome 6 open reading frame 44", "multiple coagulation factor deficiency 2-like"	dJ153G14.2, NUCB2-L		ENSG00000237154
MCHR1	melanin-concentrating hormone receptor 1	GPR24	"G protein-coupled receptor 24"	SLC1, MCH1R		ENSG00000128285
MCHR2	melanin-concentrating hormone receptor 2	GPR145	"G protein-coupled receptor 145"	SLT, MCH2, MCH2R		ENSG00000152034
MCHR2-AS1	MCHR2 antisense RNA 1					ENSG00000229315
MCIDAS	multiciliate differentiation and DNA synthesis associated cell cycle protein	MCIN	"multiciliate cell differentiation 1"	MCI, IDAS	"multicilin"	ENSG00000234602
MCKD1	medullary cystic kidney disease 1 (autosomal dominant)			ADMCKD, ADMCKD1, MCKD, MCD		
MCKD2	medullary cystic kidney disease 2 (autosomal dominant)			ADMCKD2		
MCL1	myeloid cell leukemia sequence 1 (BCL2-related)			BCL2L3, Mcl-1		ENSG00000143384
MCM2	minichromosome maintenance complex component 2	CCNL1, CDCL1	"minichromosome maintenance deficient (S. cerevisiae) 2 (mitotin)", "MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)"	D3S3194, KIAA0030, BM28, cdc19	"mitotin"	ENSG00000073111
MCM3	minichromosome maintenance complex component 3		"minichromosome maintenance deficient (S. cerevisiae) 3", "MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)"			ENSG00000112118
MCM3AP	minichromosome maintenance complex component 3 associated protein		"minichromosome maintenance deficient (S. cerevisiae) 3-associated protein", "MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein"	Map80, KIAA0572, GANP, SAC3	"germinal-centre associated nuclear protein"	ENSG00000160294
MCM3AP-AS1	MCM3AP antisense RNA 1	C21orf85, MCM3APAS, MCM3AP-AS	"MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein, antisense", "MCM3AP antisense RNA (non-protein coding)", "MCM3AP antisense RNA 1 (non-protein coding)"	FLJ10508, NCRNA00031	"non-protein coding RNA 31"	ENSG00000215424
MCM4	minichromosome maintenance complex component 4	CDC21	"MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)"	CDC54, hCdc21, P1-Cdc21, MGC33310		ENSG00000104738
MCM5	minichromosome maintenance complex component 5	CDC46	"minichromosome maintenance deficient (S. cerevisiae) 5 (cell division cycle 46)", "MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)"			ENSG00000100297
MCM6	minichromosome maintenance complex component 6		"minichromosome maintenance deficient (mis5, S. pombe) 6", "MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)", "minichromosome maintenance deficient 6 homolog (S. cerevisiae)"	Mis5	"MIS5 homolog (S.pombe)"	ENSG00000076003
MCM7	minichromosome maintenance complex component 7	MCM2	"minichromosome maintenance deficient (S. cerevisiae) 7", "MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)"	CDC47		ENSG00000166508
MCM8	minichromosome maintenance complex component 8	C20orf154	"chromosome 20 open reading frame 154"	MGC4816, MGC12866, MGC119522, MGC119523, dJ967N21.5, REC	"REC homolog (Drosophila)"	ENSG00000125885
MCM9	minichromosome maintenance complex component 9	MCMDC1, C6orf61	"minichromosome maintenance deficient domain containing 1", "chromosome 6 open reading frame 61"	MGC35304, dJ329L24.3, FLJ20170		ENSG00000111877
MCM10	minichromosome maintenance complex component 10		"MCM10 minichromosome maintenance deficient 10 (S. cerevisiae)"	PRO2249, CNA43, DNA43		ENSG00000065328
MCMBP	minichromosome maintenance complex binding protein	C10orf119	"chromosome 10 open reading frame 119"	FLJ13081, MCM-BP		ENSG00000197771
MCMDC2	minichromosome maintenance domain containing 2	C8orf45	"chromosome 8 open reading frame 45"	FLJ25692		ENSG00000178460
MCNAA~withdrawn	symbol withdrawn, see BPHL					
MCO	microphthalmia (Los Angeles type)					
MCOLN1	mucolipin 1			TRPML1, ML4, MLIV, MST080, MSTP080, TRPM-L1		ENSG00000090674
MCOLN2	mucolipin 2			TRPML2, FLJ36691, TRP-ML2		ENSG00000153898
MCOLN3	mucolipin 3			TRPML3, FLJ11006, TRP-ML3		ENSG00000055732
MCPH1	microcephalin 1		"microcephaly, primary autosomal recessive 1"	FLJ12847, BRIT1	"BRCT-repeat inhibitor of TERT expression 1"	ENSG00000147316
MCPH2~withdrawn	symbol withdrawn, see WDR62					
MCPH3~withdrawn	symbol withdrawn, see CDK5RAP2					
MCPH4~withdrawn	symbol withdrawn, see CEP152					
MCPH5~withdrawn	symbol withdrawn, see ASPM					
MCPH6~withdrawn	symbol withdrawn, see CENPJ					
MCPHA~withdrawn	symbol withdrawn, see SLC25A19					
MCRS1	microspherule protein 1			ICP22BP, MSP58, P78, MCRS2, INO80Q	"INO80 complex subunit Q"	ENSG00000187778
MCS	Miles-Carpenter X-linked mental retardation syndrome	MRXS4				
MCTP1	multiple C2 domains, transmembrane 1			FLJ22344		
MCTP2	multiple C2 domains, transmembrane 2			FLJ11175, FLJ33303		ENSG00000140563
MCTS1	malignant T cell amplified sequence 1			MCT-1		ENSG00000232119
MCU	mitochondrial calcium uniporter	C10orf42, CCDC109A	"coiled-coil domain containing 109A"	FLJ46135		ENSG00000156026
MCUR1	mitochondrial calcium uniporter regulator 1	C6orf79, CCDC90A	"chromosome 6 open reading frame 79", "coiled-coil domain containing 90A"	FLJ20958		ENSG00000050393
MDC1	mediator of DNA-damage checkpoint 1			NFBD1, KIAA0170, Em:AB023051.5		
MDC1-AS1	MDC1 antisense RNA 1		"MDC1 antisense RNA 1 (non-protein coding)"			
MDCR~withdrawn	symbol withdrawn, see PAFAH1B1					
MDC~withdrawn	symbol withdrawn, see ADAM11					
MDF1~withdrawn	entry withdrawn					
MDF2~withdrawn	symbol withdrawn, see ITGB1					
MDFI	MyoD family inhibitor			I-mfa	"inhibitor of MyoD family a"	ENSG00000112559
MDFIC	MyoD family inhibitor domain containing			HIC		ENSG00000135272
MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1			GPIM, MAMDC3		ENSG00000112139
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2	MAMDC1	"MAM domain containing 1"			ENSG00000139915
MDGI~withdrawn	symbol withdrawn, see FABP3					
MDH1	malate dehydrogenase 1, NAD (soluble)					ENSG00000014641
MDH1B	malate dehydrogenase 1B, NAD (soluble)			FLJ25341, RP11-95H11		ENSG00000138400
MDH2	malate dehydrogenase 2, NAD (mitochondrial)					
MDK	midkine (neurite growth-promoting factor 2)	NEGF2		MK, FLJ27379		ENSG00000110492
MDM1	Mdm1 nuclear protein homolog (mouse)		"Mdm4, transformed 3T3 cell double minute 1, p53 binding protein (mouse)"			ENSG00000111554
MDM2	MDM2 oncogene, E3 ubiquitin protein ligase		"mouse double minute 2, human homolog of; p53-binding protein", "Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)", "Mdm2 p53 binding protein homolog (mouse)", "Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)"	HDM2, HDMX, MGC5370		ENSG00000135679
MDM4	Mdm4 p53 binding protein homolog (mouse)		"mouse double minute 4, human homolog of; p53-binding protein", "Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)"	MDMX		ENSG00000198625
MDN1	MDN1, midasin homolog (yeast)			KIAA0301		ENSG00000112159
MDP1	magnesium-dependent phosphatase 1			MGC5987, FN6Pase	"fructosamine-6-phosphatase"	ENSG00000213920
MDR1~withdrawn	symbol withdrawn, see ABCB1					
MDR3~withdrawn	symbol withdrawn, see ABCB4					
MDRS1~withdrawn	symbol withdrawn, see SEPN1					
MDRV	muscular dystrophy, with rimmed vacuoles					
MDS1~withdrawn	symbol withdrawn, see MECOM					
MDS2	myelodysplastic syndrome 2 translocation associated					ENSG00000197880
MDU1~withdrawn	symbol withdrawn, see SLC3A2					
MDU2~withdrawn	symbol withdrawn, see CD44					
MDU3~withdrawn	symbol withdrawn, see CD44					
ME1	malic enzyme 1, NADP(+)-dependent, cytosolic					ENSG00000065833
ME2	malic enzyme 2, NAD(+)-dependent, mitochondrial					ENSG00000082212
ME3	malic enzyme 3, NADP(+)-dependent, mitochondrial					ENSG00000151376
MEA1	male-enhanced antigen 1	MEA	"male-enhanced antigen"			ENSG00000124733
MEAF6	MYST/Esa1-associated factor 6	C1orf149	"chromosome 1 open reading frame 149"	NY-SAR-91, FLJ11730, Eaf6, CENP-28	"Esa1p-associated factor 6 homolog (S. cerevisiae)", "centromere protein 28"	ENSG00000163875
MEAF6P1	MYST/Esa1-associated factor 6 pseudogene 1					ENSG00000240286
MEAX~withdrawn	symbol withdrawn, see VMA21					
MEB~withdrawn	symbol withdrawn, see POMGNT1					
MECL1~withdrawn	symbol withdrawn, see PSMB10					
MECOM	MDS1 and EVI1 complex locus	MDS1, EVI1	"myelodysplasia syndrome 1", "ecotropic viral integration site 1"	MDS1-EVI1, PRDM3		ENSG00000085276
MECP2	methyl CpG binding protein 2 (Rett syndrome)	RTT, MRX16, MRX79	"mental retardation, X-linked 16", "mental retardation, X-linked 79"			
MECR	mitochondrial trans-2-enoyl-CoA reductase			CGI-63, NRBF1, FASN2B	"nuclear receptor binding factor 1", "mitochondrial 2-enoyl thioester reductase"	ENSG00000116353
MED1	mediator complex subunit 1	TRIP2, PPARGBP, PPARBP	"PPAR binding protein"	PBP, TRAP220, RB18A, DRIP230, CRSP200, CRSP1		ENSG00000125686
MED4	mediator complex subunit 4	VDRIP	"vitamin D receptor interacting protein", "mediator of RNA polymerase II transcription, subunit 4 homolog (S. cerevisiae)"	HSPC126, DRIP36, TRAP36		ENSG00000136146
MED4-AS1	MED4 antisense RNA 1	MED4-AS	"MED4 antisense RNA (non-protein coding)", "MED4 antisense RNA 1 (non-protein coding)"			ENSG00000229111
MED6	mediator complex subunit 6		"mediator of RNA polymerase II transcription, subunit 6 homolog (S. cerevisiae)"	NY-REN-28		ENSG00000133997
MED6P1	mediator complex subunit 6 pseudogene 1					ENSG00000227905
MED7	mediator complex subunit 7	CRSP9	"cofactor required for Sp1 transcriptional activation, subunit 9, 33kDa"	CRSP33		ENSG00000155868
MED8	mediator complex subunit 8		"mediator of RNA polymerase II transcription, subunit 8 homolog (S. cerevisiae)"	MGC17544, MGC19641, ARC32		ENSG00000159479
MED9	mediator complex subunit 9		"mediator of RNA polymerase II transcription, subunit 9 homolog (S. cerevisiae)"	FLJ10193, MED25		ENSG00000141026
MED10	mediator complex subunit 10		"mediator of RNA polymerase II transcription, subunit 10 homolog (NUT2, S. cerevisiae)"	TRG20, L6, MGC5309, NUT2	"NUT2 homolog (S. cerevisiae)"	ENSG00000133398
MED11	mediator complex subunit 11		"mediator of RNA polymerase II transcription, subunit 11 homolog (S. cerevisiae)"	HSPC296, MGC88387		ENSG00000161920
MED12	mediator complex subunit 12	TNRC11, FGS1	"trinucleotide repeat containing 11 (THR-associated protein, 230kDa subunit)", "mediator of RNA polymerase II transcription, subunit 12 homolog (S. cerevisiae)", "FG syndrome 1"	CAGH45, HOPA, OPA1, TRAP230, KIAA0192, OKS		ENSG00000184634
MED12L	mediator complex subunit 12-like		"mediator of RNA polymerase II transcription, subunit 12 homolog (S. cerevisiae)-like"	KIAA1635, TNRC11L, TRALPUSH, TRALP		ENSG00000144893
MED13	mediator complex subunit 13	THRAP1	"thyroid hormone receptor associated protein 1"	KIAA0593, TRAP240		ENSG00000108510
MED13L	mediator complex subunit 13-like	THRAP2	"thyroid hormone receptor associated protein 2"	KIAA1025, TRAP240L		ENSG00000123066
MED13P1	mediator complex subunit 13 pseudogene 1					ENSG00000236131
MED14	mediator complex subunit 14	CXorf4, CRSP2	"cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa"	EXLM1, CRSP150, TRAP170, RGR1, CSRP		ENSG00000180182
MED14-AS1	MED14 antisense RNA 1		"MED14 antisense RNA 1 (non-protein coding)"			ENSG00000234636
MED14P1	mediator complex subunit 14 pseudogene 1	CXorf4P, CRSP2P, MED14P	"cofactor required for Sp1 transcriptional activation, subunit 2, pseudogene", "mediator complex subunit 14 pseudogene"			ENSG00000233774
MED15	mediator complex subunit 15	TNRC7, PCQAP	"trinucleotide repeat containing 7", "PC2 (positive cofactor 2, multiprotein complex) glutamine/Q-rich-associated protein"	TIG-1, CAG7A, Arc105		ENSG00000099917
MED15P1	mediator complex subunit 15 pseudogene 1	PCQAPP, MED15P	"PCQAP pseudogene", "mediator complex subunit 15 pseudogene"			ENSG00000257853
MED15P2	mediator complex subunit 15 pseudogene 2					
MED15P3	mediator complex subunit 15 pseudogene 3					ENSG00000226831
MED15P4	mediator complex subunit 15 pseudogene 4					ENSG00000224679
MED15P5	mediator complex subunit 15 pseudogene 5					ENSG00000236595
MED15P6	mediator complex subunit 15 pseudogene 6					ENSG00000257162
MED15P7	mediator complex subunit 15 pseudogene 7					ENSG00000234381
MED15P8	mediator complex subunit 15 pseudogene 8					ENSG00000248796
MED15P9	mediator complex subunit 15 pseudogene 9	CCDC74B-AS1	"CCDC74B antisense RNA 1 (non-protein coding)", "CCDC74B antisense RNA 1"			ENSG00000223760
MED16	mediator complex subunit 16	THRAP5	"thyroid hormone receptor associated protein 5"	DRIP92, TRAP95		ENSG00000175221
MED17	mediator complex subunit 17	CRSP6	"cofactor required for Sp1 transcriptional activation, subunit 6 (77kD)", "cofactor required for Sp1 transcriptional activation, subunit 6, 77kDa"	CRSP77, TRAP80, DRIP80		ENSG00000042429
MED18	mediator complex subunit 18		"mediator of RNA polymerase II transcription, subunit 18 homolog (S. cerevisiae)"	FLJ20045, p28b		ENSG00000130772
MED19	mediator complex subunit 19		"mediator of RNA polymerase II transcription, subunit 19 homolog (S. cerevisiae)"	LCMR1		ENSG00000156603
MED20	mediator complex subunit 20	TRFP	"Trf (TATA binding protein-related factor)-proximal homolog (Drosophila)"	DKFZp586D2223, PRO0213		ENSG00000124641
MED21	mediator complex subunit 21	SURB7	"SRB7 (suppressor of RNA polymerase B, yeast) homolog", "SRB7 suppressor of RNA polymerase B homolog (yeast)"	SRB7		ENSG00000152944
MED22	mediator complex subunit 22	SURF5	"surfeit 5"	Med24		
MED23	mediator complex subunit 23	CRSP3	"cofactor required for Sp1 transcriptional activation, subunit 3, 130kDa"	CRSP130, DRIP130, Sur2		ENSG00000112282
MED24	mediator complex subunit 24	THRAP4, CRSP4	"thyroid hormone receptor associated protein 4", "cofactor required for Sp1 transcriptional activation, subunit 4, 100kDa"	TRAP100, KIAA0130, DRIP100, CRSP100		ENSG00000008838
MED25	mediator complex subunit 25		"mediator of RNA polymerase II transcription, subunit 25 homolog (S. cerevisiae)"	ARC92, ACID1, TCBAP0758, DKFZp434K0512		ENSG00000104973
MED26	mediator complex subunit 26	CRSP7	"cofactor required for Sp1 transcriptional activation, subunit 7, 70kDa"	CRSP70		ENSG00000105085
MED27	mediator complex subunit 27	CRSP8	"cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa"	TRAP37, CRSP34		ENSG00000160563
MED28	mediator complex subunit 28		"mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)"	EG1, DKFZP434N185, magicin		ENSG00000118579
MED28P1	mediator complex subunit 28 pseudogene 1					ENSG00000214875
MED28P2	mediator complex subunit 28 pseudogene 2					ENSG00000240511
MED28P3	mediator complex subunit 28 pseudogene 3					ENSG00000227692
MED28P4	mediator complex subunit 28 pseudogene 4					ENSG00000224701
MED28P5	mediator complex subunit 28 pseudogene 5					ENSG00000255205
MED28P6	mediator complex subunit 28 pseudogene 6					ENSG00000259183
MED28P7	mediator complex subunit 28 pseudogene 7					ENSG00000236542
MED28P8	mediator complex subunit 28 pseudogene 8					ENSG00000242598
MED29	mediator complex subunit 29	IXL	"intersex-like (Drosophila)"	DKFZp434H247		ENSG00000063322
MED30	mediator complex subunit 30	THRAP6	"thyroid hormone receptor associated protein 6"	TRAP25		ENSG00000164758
MED31	mediator complex subunit 31		"mediator of RNA polymerase II transcription, subunit 31 homolog (S. cerevisiae)"	CGI-125, Soh1		ENSG00000108590
MEDAG	mesenteric estrogen-dependent adipogenesis	C13orf33	"chromosome 13 open reading frame 33"	FLJ14834, AWMS3, MEDA-4	"mesenteric estrogen-dependent adipose 4", "activated in W/Wv mouse stomach 3 homolog"	ENSG00000102802
MED~withdrawn	symbol withdrawn, see SCN8A					
MEF2A	myocyte enhancer factor 2A			RSRFC4, RSRFC9		ENSG00000068305
MEF2AP1	myocyte enhancer factor 2A pseudogene 1	MEF2AP	"myocyte enhancer factor 2A pseudogene"			ENSG00000224620
MEF2B	myocyte enhancer factor 2B			RSRFR2		ENSG00000213999
MEF2BNB	MEF2B neighbor					ENSG00000254901
MEF2BNB-MEF2B	MEF2BNB-MEF2B readthrough					ENSG00000064489
MEF2C	myocyte enhancer factor 2C					ENSG00000081189
MEF2C-AS1	MEF2C antisense RNA 1					ENSG00000248309
MEF2D	myocyte enhancer factor 2D					ENSG00000116604
MEFV	Mediterranean fever	MEF		FMF, TRIM20	"pyrin"	ENSG00000103313
MEF~withdrawn	symbol withdrawn, see MEFV					
MEG3	maternally expressed 3 (non-protein coding)		"maternally expressed 3"	GTL2, NCRNA00023, LINC00023	"non-protein coding RNA 23", "long intergenic non-protein coding RNA 23"	ENSG00000214548
MEG8	maternally expressed 8 (non-protein coding)		"maternally expressed (in Callipyge) 8"	NCRNA00024, Irm, Rian, Bsr, LINC00024	"non-protein coding RNA 24", "RNA Imprinted and Accumulated in Nucleus", "Imprinted RNA near Meg3/Gtl2", "long intergenic non-protein coding RNA 24"	ENSG00000258399
MEG9	maternally expressed 9 (non-protein coding)			LINC00584	"long intergenic non-protein coding RNA 584"	ENSG00000223403
MEGF6	multiple EGF-like-domains 6	EGFL3	"EGF-like-domain, multiple 3"			ENSG00000162591
MEGF8	multiple EGF-like-domains 8	EGFL4, C19orf49	"EGF-like-domain, multiple 4", "chromosome 19 open reading frame 49"	SBP1, FLJ22365	"HBV pre s2 binding protein 1"	ENSG00000105429
MEGF9	multiple EGF-like-domains 9	EGFL5	"EGF-like-domain, multiple 5"			ENSG00000106780
MEGF10	multiple EGF-like-domains 10			KIAA1780		ENSG00000145794
MEGF11	multiple EGF-like-domains 11			KIAA1781, DKFZp434L121		
MEHMO	mental retardation, epileptic seizures, hypogonadism and -genitalism, microcephaly and obesity syndrome					
MEI1	meiosis inhibitor 1			MGC40042, SPATA38	"spermatogenesis associated 38"	ENSG00000167077
MEI4	meiosis-specific 4 homolog (S. cerevisiae)					ENSG00000269964
MEIG1	meiosis/spermiogenesis associated 1		"meiosis expressed gene 1 homolog (mouse)"	bA2K17.3, SPATA39	"spermatogenesis associated 39"	ENSG00000197889
MEIOB	meiosis specific with OB domains	C16orf73	"chromosome 16 open reading frame 73"	MGC35212		ENSG00000162039
MEIS1	Meis homeobox 1		"Meis1 (mouse) homolog", "Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)"			ENSG00000143995
MEIS1-AS1~withdrawn	symbol withdrawn, see MEIS1-AS2					
MEIS1-AS2	MEIS1 antisense RNA 2	MEIS1-AS1	"MEIS1 antisense RNA 2 (non-protein coding)", "MEIS1 antisense RNA 1", "MEIS1 antisense RNA 1 (non-protein coding)"			ENSG00000230749
MEIS1-AS3	MEIS1 antisense RNA 3		"MEIS1 antisense RNA 3 (non-protein coding)"			ENSG00000226819
MEIS2	Meis homeobox 2		"Meis (mouse) homolog 2", "Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)"	MRG1, HsT18361		ENSG00000134138
MEIS3	Meis homeobox 3		"Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)"	MRG2, DKFZp547H236		ENSG00000105419
MEIS3P1	Meis homeobox 3 pseudogene 1	MEIS3, MEIS4	"Meis1, myeloid ecotropic viral integration site 1 homolog 3 (mouse)", "Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse)", "Meis1 homolog 3 (mouse) pseudogene 1"	MRG2		ENSG00000179277
MEIS3P2	Meis homeobox 3 pseudogene 2		"Meis1 homolog 3 (mouse) pseudogene 2"			ENSG00000188013
MEKK1~withdrawn	symbol withdrawn, see MAP3K1					
MEKK2~withdrawn	symbol withdrawn, see MAP3K2					
MEKK3~withdrawn	symbol withdrawn, see MAP3K3					
MEKK4~withdrawn	symbol withdrawn, see MAP3K4					
MELAS	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes					
MELK	maternal embryonic leucine zipper kinase			KIAA0175		ENSG00000165304
MELL1~withdrawn	entry withdrawn					
MEMO1	mediator of cell motility 1	C2orf4	"chromosome 2 open reading frame 4"	CGI-27, MEMO		ENSG00000162959
MEMO1P1	mediator of cell motility 1 pseudogene 1	MEMO1P, C21orf19	"mediator of cell motility 1 pseudogene", "chromosome 21 open reading frame 19"			ENSG00000226054
MEMO1P2	mediator of cell motility 1 pseudogene 2					
MEMO1P3	mediator of cell motility 1 pseudogene 3					ENSG00000239238
MEMO1P4	mediator of cell motility 1 pseudogene 4					ENSG00000230376
MEMO1P5	mediator of cell motility 1 pseudogene 5					ENSG00000271492
MEN1	multiple endocrine neoplasia I				"menin"	ENSG00000133895
MEN2A~withdrawn	symbol withdrawn, see RET					
MEN2B~withdrawn	symbol withdrawn, see RET					
MEOX1	mesenchyme homeobox 1		"mesenchyme homeo box 1"	MOX1		ENSG00000005102
MEOX2	mesenchyme homeobox 2	GAX	"mesenchyme homeo box 2 (growth arrest-specific homeo box)", "mesenchyme homeobox 2 (growth arrest-specific homeo box)"	MOX2	"growth arrest-specific homeobox"	ENSG00000106511
MEP1A	meprin A, alpha (PABA peptide hydrolase)			PPHA		ENSG00000112818
MEP1AL3~withdrawn	entry withdrawn					
MEP1AL4~withdrawn	entry withdrawn					
MEP1AP1	meprin A, alpha pseudogene 1	MEP1AL1	"meprin A, alpha-like 1", "meprin A, alpha-like 1 (pseudogene)"			ENSG00000228871
MEP1AP2	meprin A, alpha pseudogene 2	MEP1AL2	"meprin A, alpha-like 2", "meprin A, alpha-like 2 (pseudogene)"			ENSG00000223780
MEP1AP3	meprin A, alpha pseudogene 3					ENSG00000234344
MEP1AP4	meprin A, alpha pseudogene 4					ENSG00000224537
MEP1B	meprin A, beta					ENSG00000141434
MEPCE	methylphosphate capping enzyme	BCDIN3	"bin3, bicoid-interacting 3, homolog (Drosophila)"	FLJ20257, MePCE		ENSG00000146834
MEPE	matrix extracellular phosphoglycoprotein		"matrix, extracellular phosphoglycoprotein with ASARM motif (bone)"			ENSG00000152595
MER1~withdrawn	entry withdrawn					
MER2~withdrawn	entry withdrawn					
MER5	antigen identified by monoclonal antibody 2D8					
MER6~withdrawn	symbol withdrawn, see CD47					
MERRF~withdrawn	symbol withdrawn, see MT-TK					
MERR~withdrawn	entry withdrawn					
MERTK	c-mer proto-oncogene tyrosine kinase			mer, RP38		ENSG00000153208
MESDC1	mesoderm development candidate 1			MGC99595		ENSG00000140406
MESDC2	mesoderm development candidate 2			KIAA0081, BOCA, MESD		ENSG00000117899
MESP1	mesoderm posterior 1 homolog (mouse)			MGC10676, bHLHc5		ENSG00000166823
MESP2	mesoderm posterior 2 homolog (mouse)			SCDO2, bHLHc6		ENSG00000188095
